,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GGAL210115C00002500,2019-09-16 04:02:53,2.5,9.7,9.1,12.4,0.0,0.0,,3,0.0,True,REGULAR,USD
1,GGAL210115C00005000,2020-05-12 14:04:03,5.0,4.9,3.9,4.6,0.0,0.0,10.0,167,0.9882813671875,True,REGULAR,USD
2,GGAL210115C00007500,2020-05-12 14:20:44,7.5,3.3,1.9,3.2,0.0,0.0,10.0,70,0.79101771484375,True,REGULAR,USD
3,GGAL210115C00010000,2020-05-14 14:53:49,10.0,1.66,1.45,2.0,-0.04000008,-2.3529458,10.0,273,0.8149432568359375,False,REGULAR,USD
4,GGAL210115C00012500,2020-05-12 14:54:35,12.5,1.75,0.8,1.35,0.0,0.0,3.0,482,0.7827170166015626,False,REGULAR,USD
5,GGAL210115C00015000,2020-05-13 13:37:22,15.0,0.7,0.45,0.95,-0.25,-26.31579,2.0,759,0.7744163183593751,False,REGULAR,USD
6,GGAL210115C00017500,2020-05-14 14:53:49,17.5,0.46,0.2,0.7,-0.26000002,-36.11111,10.0,721,0.7617211328125001,False,REGULAR,USD
7,GGAL210115C00020000,2020-05-13 18:56:44,20.0,0.3,0.3,0.5,0.0,0.0,50.0,340,0.8173846386718748,False,REGULAR,USD
8,GGAL210115C00022500,2020-05-07 13:49:29,22.5,0.15,0.15,0.35,0.0,0.0,1.0,102,0.790041162109375,False,REGULAR,USD
9,GGAL210115C00025000,2020-05-08 14:18:01,25.0,0.2,0.0,0.3,0.0,0.0,28.0,104,0.7617211328125001,False,REGULAR,USD
10,GGAL210115C00030000,2020-05-08 13:50:00,30.0,0.14,0.0,0.2,0.0,0.0,26.0,285,0.7929708203125,False,REGULAR,USD
11,GGAL210115C00035000,2020-04-06 14:12:17,35.0,0.15,0.0,0.35,0.0,0.0,4.0,1866,0.9511723632812499,False,REGULAR,USD
12,GGAL210115C00040000,2020-05-06 13:50:43,40.0,0.02,0.0,0.35,0.0,0.0,100.0,1401,1.013676806640625,False,REGULAR,USD
13,GGAL210115C00045000,2019-12-26 17:43:02,45.0,0.45,0.05,0.2,0.0,0.0,93.0,0,1.009770576171875,False,REGULAR,USD
14,GGAL210115C00050000,2019-12-27 20:52:00,50.0,0.25,0.0,4.8,0.0,0.0,100.0,0,2.166996770019531,False,REGULAR,USD
